Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF18aavohdq_20180612_P60_v1.ascii,ZTF18aavohdq_20180612_P60_v1_10,IIn,0.089,IIn/2009kr/DEIMOS+2010-02-15 07:29:16.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.22377178,0.7762282,-2455129.0,1.8
ZTF18aavohdq_20180612_P60_v1.ascii,ZTF18aavohdq_20180612_P60_v1_10,IIn,0.089,IIn/2005cp/DBSP+2006-01-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.16126817,0.8387318,-2453559.0,1.8
ZTF18aavoyoq_20180920_P60_v1.ascii,ZTF18aavoyoq_20180920_P60_v1_10,SLSN-I,0.1,SLSN-I/2017egm/KAST+2017-06-28 05:00:57.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.73386705,0.26613295,-2457869.0,1.2
ZTF18aavqdyq_20180609_P200_v1.ascii,ZTF18aavqdyq_20180609_P200_v1_10,II,0.026,II/2012aw/KAST+2012-04-28 03:56:09.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.85917073,0.14082925,-2456002.0,-2.0
ZTF18aavqdyq_20181012_Keck1_v1.ascii,ZTF18aavqdyq_20181012_Keck1_v1_10,II,0.0273,II/2014G/KAST+2014-04-30 09:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.5936086,0.4063914,-2456678.0,1.8
ZTF18aavrmcg_20180520_LT_v1.ascii,ZTF18aavrmcg_20180520_LT_v1_10,Ic,0.076,Ic/2019bkc/Goodman+2019-03-05 06:28:48.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.9478831,0.052116875,-2458499.0,1.4
ZTF18aavrmcg_20180523_NOT_v1.ascii,ZTF18aavrmcg_20180523_NOT_v1_10,SLSN-I,0.076,SLSN-I/2017egm/ALFOSC+2017-06-07 23:31:12.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.843028,0.156972,-2457914.0,-0.6
ZTF18aavrmcg_20180604_NOT_v1.ascii,ZTF18aavrmcg_20180604_NOT_v1_10,SLSN-I,0.076,SLSN-I/Gaia16apd/ALFOSC+2016-07-15 22:17:42.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.75304097,0.24695906,-2457505.0,-0.4
ZTF18aavrmcg_20180613_NOT_v1.ascii,ZTF18aavrmcg_20180613_NOT_v1_10,Ic,0.08,Ic/1994I/KAST+1994-04-04 10:14:53.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.8580176,0.14198239,-2449396.0,-0.8
ZTF18aavrmcg_20180717_P200_v2.ascii,ZTF18aavrmcg_20180717_P200_v2_10,SLSN-I,0.076,SLSN-I/2011ke/LRIS+2011-07-02 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.9097797,0.090220295,-2455680.0,-2.0
ZTF18aavrmcg_20181111_Keck1_v1.ascii,ZTF18aavrmcg_20181111_Keck1_v1_10,II,0.08,II/iPTF15crj/DBSP+2015-09-20 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9717308,0.028269177,,1.0
ZTF18aavrmlf_20200212_P60_v1.ascii,ZTF18aavrmlf_20200212_P60_v1_10,Ia 99aa-like,0.10735,Ia 99aa-like/1999aa/MARK-III+1999-03-03 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.15965873,0.84034127,-2451232.0,1.2
ZTF18aavrwhu_20180531_P60_v1.ascii,ZTF18aavrwhu_20180531_P60_v1_10,Ia 99aa-like,0.0651,Ia 99aa-like/iPTF14bdn/YFOSC+2014-06-03 17:37:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.6396458,0.3603542,-2456822.0,1.0
ZTF18aavrwhu_20180612_LT_v1.ascii,ZTF18aavrwhu_20180612_LT_v1_10,Ia-norm,0.062,Ia-norm/2017erp/KAST+2017-07-05 06:43:12.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.9870348,0.012965218,-2457923.0,-1.2
ZTF18aavrzxp_20180605_P60_v1.ascii,ZTF18aavrzxp_20180605_P60_v1_10,Ia-norm,0.07,Ia-norm/2011by/KAST+2011-05-14 05:54:14.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.67168367,0.32831633,-2455676.0,-0.2
ZTF18aavsilo_20200523_P60_v1.ascii,ZTF18aavsilo_20200523_P60_v1_10,Ia-norm,0.04592,Ia-norm/2013dy/HET-LRS+2013-08-02 05:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.18271664,0.8172834,-2456464.0,0.0
ZTF18aavskep_20180602_P60_v1.ascii,ZTF18aavskep_20180602_P60_v1_10,II-flash,0.0437,II-flash/2014cn_early/GMOS+00:00.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.99069124,0.009308746,,-1.0
ZTF18aavskep_20180610_LT_v1.ascii,ZTF18aavskep_20180610_LT_v1_10,SLSN-I,0.0483,SLSN-I/2017egm/SPRAT+2017-06-15 21:26:10.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.9124893,0.08751068,-2457916.0,-1.8
ZTF18aavskep_20190119_NOT_v1.ascii,ZTF18aavskep_20190119_NOT_v1_10,Ia-CSM-(ambigious),0.0437,Ia-CSM-(ambigious)/2012ca/EFOSC2-NTT+2012-09-15 23:37:52.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.99572337,0.004276611,-2456000.0,0.4
ZTF18aavskyg_20180607_P60_v1.ascii,ZTF18aavskyg_20180607_P60_v1_10,IIn,0.086545,IIn/2009kr/DEIMOS+2010-02-15 07:29:16.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.080004595,0.9199954,-2455129.0,1.8
ZTF18aavtklk_20180805_P60_v1.ascii,ZTF18aavtklk_20180805_P60_v1_10,IIn,0.104,IIn/2005cp/DBSP+2006-01-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.41698864,0.5830113,-2453559.0,-1.2
ZTF18aavtklk_20180805_P60_v2.ascii,ZTF18aavtklk_20180805_P60_v2_10,IIn,0.104,IIn/2005cp/DBSP+2006-01-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.4432543,0.5567457,-2453559.0,-1.6
ZTF18aavytfq_20180912_P200_v2.ascii,ZTF18aavytfq_20180912_P200_v2_10,SLSN-I,0.0259035,SLSN-I/PTF12dam/OSIRIS+2012-05-24 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.3880803,0.6119197,-2456090.0,-1.6
ZTF18aawczad_20180609_P60_v1.ascii,ZTF18aawczad_20180609_P60_v1_10,Ia-norm,0.0682,Ia-norm/2007sr/FAST+2007-12-29 12:43:12.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.43556687,0.5644331,-2454438.0,1.0
ZTF18aawdpnm_20180604_P60_v1.ascii,ZTF18aawdpnm_20180604_P60_v1_10,SLSN-I,0.046095,SLSN-I/PTF10bfz/LRIS+2010-03-07 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.42073417,0.57926583,-2455250.0,-2.0
ZTF18aawdpnm_20180605_P60_v1.ascii,ZTF18aawdpnm_20180605_P60_v1_10,Ia-norm,0.0439,Ia-norm/2009Y/LRIS+2009-02-19 15:57:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.7963972,0.20360278,-2454840.0,2.0
ZTF18aawjywv_20180601_P60_v1.ascii,ZTF18aawjywv_20180601_P60_v1_10,Ia-norm,0.042,Ia-norm/2013dy/HET-LRS+2013-08-02 05:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.3679179,0.6320821,-2456464.0,0.2
ZTF18aawmxdx_20181213_P60_v1.ascii,ZTF18aawmxdx_20181213_P60_v1_10,Ia-norm,0.044625,Ia-norm/2012ht/AFOSC+2012-12-22 00:58:06.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.5903135,0.40968648,-2456289.0,-1.4
ZTF18aawmxdx_20181216_P60_v1.ascii,ZTF18aawmxdx_20181216_P60_v1_10,Ia-norm,0.040375,Ia-norm/2012ht/KAST+2013-01-05 11:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.34535083,0.6546492,-2456259.0,1.6
